0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D5.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/logo/top25.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/logo/2.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/logo/1.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/logo/3.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/logo/4.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/logo/board.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/footer/facebook.png HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/footer/instagram.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/footer/twitter.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/footer/tumblr.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:41:21 +0900] "GET /BBS/images/footer/google.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 24344
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D1.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D2.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D3.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/logo/main_logo.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D5.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D4.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/logo/top25.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/logo/1.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/logo/3.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/logo/2.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/logo/4.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/logo/board.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/footer/facebook.png HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/footer/instagram.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/footer/google.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/footer/tumblr.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/images/footer/twitter.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:17 +0900] "GET /BBS/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 24344
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/logo/main_logo.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D1.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D2.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D3.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D4.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D5.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/logo/board.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/logo/top25.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/logo/3.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/logo/2.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/logo/1.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/footer/instagram.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/footer/facebook.png HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/logo/4.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/footer/twitter.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/footer/google.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:54 +0900] "GET /BBS/images/footer/tumblr.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:42:55 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:44:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 24343
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:44:39 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D1.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:44:39 +0900] "GET /BBS/images/logo/main_logo.png HTTP/1.1" 404 1115
